name,url,submissionUrl,category,da,tier,type
HomeAdvisor,https://homeadvisor.com,https://homeadvisor.com,Home Services,80,high,web_form
Porch,https://porch.com,https://porch.com,Home Services,74,high,web_form
Avvo,https://avvo.com,https://avvo.com,Legal & Law,81,high,web_form
FindLaw,https://findlaw.com,https://findlaw.com,Legal & Law,84,high,web_form
Justia,https://justia.com,https://justia.com,Legal & Law,88,high,web_form
Lawyers.com,https://lawyers.com,https://lawyers.com,Legal & Law,69,medium,web_form
Nolo,https://nolo.com,https://nolo.com,Legal & Law,74,high,web_form
WalletHub,https://wallethub.com,https://wallethub.com,Financial Services,71,high,web_form
Instagram Business,https://business.instagram.com,https://business.instagram.com,General Business,88,high,web_form
Instagram,https://instagram.com,https://instagram.com,General Business,88,high,web_form
Twitter/X Business,https://business.twitter.com,https://business.twitter.com,General Business,87,high,web_form
OpenStreetMap,https://openstreetmap.org,https://openstreetmap.org,General Business,75,high,web_form
Kompass,https://kompass.com,https://kompass.com,General Business,60,medium,web_form
Cylex,https://cylex.us.com,https://cylex.us.com,General Business,58,medium,web_form
Hotfrog,https://hotfrog.com,https://hotfrog.com,General Business,73,high,web_form
Brownbook,https://brownbook.net,https://brownbook.net,General Business,54,medium,web_form
Merchant Circle,https://merchantcircle.com,https://merchantcircle.com,General Business,88,high,web_form
EZlocal,https://ezlocal.com,https://ezlocal.com,General Business,65,medium,web_form
CitySquares,https://citysquares.com,https://citysquares.com,General Business,46,medium,web_form
Tupalo,https://tupalo.com,https://tupalo.com,General Business,44,medium,web_form
ProvenExpert,https://provenexpert.com,https://provenexpert.com,General Business,42,medium,web_form
Zumvu,https://zumvu.com,https://zumvu.com,General Business,40,medium,web_form
Yellow.place,https://yellow.place,https://yellow.place,General Business,38,medium,web_form
BOTW,https://botw.org,https://botw.org,General Business,36,medium,web_form
YellowBot,https://yellowbot.com,https://yellowbot.com,General Business,79,high,web_form
Fixr,https://fixr.com,https://fixr.com,Home Services,68,medium,web_form
ServiceMaster,https://servicemaster.com,https://servicemaster.com,Home Services,62,medium,web_form
HVACLocal,https://hvaclocal.com,https://hvaclocal.com,HVAC,45,medium,web_form
HVACServiceFinder,https://hvacservicefinder.net,https://hvacservicefinder.net,HVAC,38,medium,web_form
PlumbingWeb,https://plumbingweb.com,https://plumbingweb.com,Plumbing,25,low,web_form
USA Plumbing,https://usaplumbing.info,https://usaplumbing.info,Plumbing,22,low,web_form
BestPlumbers,https://bestplumbers.com,https://bestplumbers.com,Plumbing,38,medium,web_form
ElectriciansReview,https://electriciansreview.com,https://electriciansreview.com,Electrician,35,medium,web_form
HomeAdvisor Contractors,https://homeadvisor.com/profiles,https://homeadvisor.com/profiles,Home Services,80,high,web_form
Angie's List,https://angieslist.com,https://angieslist.com,Home Services,89,high,web_form
Sitejabber,https://sitejabber.com,https://sitejabber.com,General Business,70,high,web_form
Insider Pages,https://insiderpages.com,https://insiderpages.com,General Business,83,high,web_form
Judy's Book,https://judysbook.com,https://judysbook.com,General Business,64,medium,web_form
eLocal,https://elocal.com,https://elocal.com,Home Services,65,medium,web_form
About.me,https://about.me,https://about.me,General Business,92,high,web_form
Justpaste.it,https://justpaste.it,https://justpaste.it,General Business,89,high,web_form
Issuu,https://issuu.com,https://issuu.com,General Business,94,high,web_form
HERE Maps,https://here.com,https://mapcreator.here.com,General Business,93,high,web_form
TomTom,https://tomtom.com,https://tomtom.com,General Business,64,medium,web_form
GlobalCatalog,https://globalcatalog.com,https://globalcatalog.com,General Business,40,medium,web_form
LinkCentre,https://linkcentre.com,https://linkcentre.com,General Business,28,low,web_form
FindIt,https://findit.com,https://findit.com,General Business,35,medium,web_form
AGreaterTown,https://agreatertown.com,https://agreatertown.com,General Business,32,low,web_form
Place123,https://place123.net,https://place123.net,General Business,30,low,web_form
WhoDoYou,https://whodoyou.com,https://whodoyou.com,General Business,25,low,web_form
1BusinessWorld,https://1businessworld.com,https://1businessworld.com,General Business,22,low,web_form
Localeze,https://neustarlocaleze.biz,https://neustarlocaleze.biz,General Business,58,medium,api
Data Axle,https://data-axle.com,https://data-axle.com,General Business,55,medium,api
Acxiom,https://acxiom.com,https://acxiom.com,General Business,76,high,api
Infogroup,https://infogroup.com,https://infogroup.com,General Business,52,medium,api
Factual,https://factual.com,https://factual.com,General Business,48,medium,api
Fyple Canada,https://fyple.ca,https://fyple.ca,General Business,45,medium,web_form
Cylex Canada,https://cylex-canada.ca,https://cylex-canada.ca,General Business,42,medium,web_form
Tuugo,https://tuugo.us,https://tuugo.us,General Business,38,medium,web_form
Communitywalk,https://communitywalk.com,https://communitywalk.com,General Business,35,medium,web_form
Local.botw.org,https://local.botw.org,https://local.botw.org,General Business,70,high,web_form
Storeboard,https://storeboard.com,https://storeboard.com,General Business,42,medium,web_form
The Dots,https://the-dots.com,https://the-dots.com,General Business,38,medium,web_form
TrepUp,https://trepup.com,https://trepup.com,General Business,28,low,web_form
Callupcontact,https://callupcontact.com,https://callupcontact.com,General Business,26,low,web_form
Twidloo,https://twidloo.com,https://twidloo.com,General Business,22,low,web_form
YPLocal,https://yplocal.us,https://yplocal.us,General Business,20,low,web_form
Adpost,https://adpost.com,https://adpost.com,General Business,18,low,web_form
Startus,https://startus.cc,https://startus.cc,General Business,32,low,web_form
EnrollBusiness,https://enrollbusiness.com,https://enrollbusiness.com,General Business,30,low,web_form
Ailoq,https://ailoq.com,https://ailoq.com,General Business,35,medium,web_form
Just Landed,https://justlanded.com,https://justlanded.com,General Business,45,medium,web_form
Zeemaps,https://zeemaps.com,https://zeemaps.com,General Business,32,low,web_form
BatchGeo,https://batchgeo.com,https://batchgeo.com,General Business,38,medium,web_form
Apsense,https://apsense.com,https://apsense.com,General Business,58,medium,web_form
Aliqs,https://aliqs.com,https://aliqs.com,General Business,28,low,web_form
YellowBiz,https://yellowbiz.com,https://yellowbiz.com,General Business,35,medium,web_form
BizMerlin,https://bizmerlin.com,https://bizmerlin.com,General Business,32,low,web_form
BusinessFind,https://businessfind.com,https://businessfind.com,General Business,30,low,web_form
MyBizCards,https://mybiz.cards,https://mybiz.cards,General Business,28,low,web_form
SocialRaves,https://socialraves.com,https://socialraves.com,General Business,25,low,web_form
Biz.com,https://biz.com,https://biz.com,General Business,48,medium,web_form
BusinessPages.net,https://businesspages.net,https://businesspages.net,General Business,42,medium,web_form
LocalPages,https://localpages.com,https://localpages.com,General Business,35,medium,web_form
ShopLocal,https://shoplocal.com,https://shoplocal.com,General Business,38,medium,web_form
LocalBusiness,https://localbusiness.com,https://localbusiness.com,General Business,32,low,web_form
BusinessListings.net,https://businesslistings.net,https://businesslistings.net,General Business,28,low,web_form
DirectoryPlus,https://directoryplus.net,https://directoryplus.net,General Business,25,low,web_form
LocalFinder,https://localfinder.com,https://localfinder.com,General Business,22,low,web_form
BusinessNetworks.com,https://businessnetworks.com,https://businessnetworks.com,General Business,20,low,web_form
GlobalBusiness.net,https://globalbusiness.net,https://globalbusiness.net,General Business,18,low,web_form
BizIndex,https://bizindex.com,https://bizindex.com,General Business,16,low,web_form
BizLinks,https://bizlinks.com,https://bizlinks.com,General Business,15,low,web_form
BizSearch,https://bizsearch.com,https://bizsearch.com,General Business,14,low,web_form
BizDirectory,https://bizdirectory.com,https://bizdirectory.com,General Business,13,low,web_form
BizGuide,https://bizguide.com,https://bizguide.com,General Business,12,low,web_form
BizFinder,https://bizfinder.com,https://bizfinder.com,General Business,11,low,web_form
BusinessConnect,https://businessconnect.net,https://businessconnect.net,General Business,10,low,web_form
BusinessOnline,https://businessonline.com,https://businessonline.com,General Business,9,low,web_form
BusinessWeb,https://businessweb.net,https://businessweb.net,General Business,8,low,web_form
BusinessHub,https://businesshub.net,https://businesshub.net,General Business,7,low,web_form
LocalHub,https://localhub.com,https://localhub.com,General Business,6,low,web_form
CommunityFinder,https://communityfinder.com,https://communityfinder.com,General Business,5,low,web_form
YourBusiness.com,https://yourbusiness.com,https://yourbusiness.com,General Business,32,low,web_form
MyBusiness.net,https://mybusiness.net,https://mybusiness.net,General Business,28,low,web_form
BusinessCard.net,https://businesscard.net,https://businesscard.net,General Business,25,low,web_form
BusinessInfo.net,https://businessinfo.net,https://businessinfo.net,General Business,22,low,web_form
BusinessSite.net,https://businesssite.net,https://businesssite.net,General Business,20,low,web_form
LocalGuide.net,https://localguide.net,https://localguide.net,General Business,18,low,web_form
LocalInfo.net,https://localinfo.net,https://localinfo.net,General Business,16,low,web_form
LocalLink.net,https://locallink.net,https://locallink.net,General Business,14,low,web_form
LocalNet.net,https://localnet.net,https://localnet.net,General Business,12,low,web_form
LocalWeb.net,https://localweb.net,https://localweb.net,General Business,10,low,web_form
NearbyBusiness.com,https://nearbybusiness.com,https://nearbybusiness.com,General Business,8,low,web_form
NearbyFinder.com,https://nearbyfinder.com,https://nearbyfinder.com,General Business,6,low,web_form
LocalSearch.net,https://localsearch.net,https://localsearch.net,General Business,38,medium,web_form
LocalMatch.com,https://localmatch.com,https://localmatch.com,General Business,35,medium,web_form
LocalConnect.com,https://localconnect.com,https://localconnect.com,General Business,32,low,web_form
LocalPlus.net,https://localplus.net,https://localplus.net,General Business,28,low,web_form
LocalMax.net,https://localmax.net,https://localmax.net,General Business,25,low,web_form
LocalFocus.net,https://localfocus.net,https://localfocus.net,General Business,22,low,web_form
LocalDeal.com,https://localdeal.com,https://localdeal.com,General Business,35,medium,web_form
LocalOffer.com,https://localoffer.com,https://localoffer.com,General Business,32,low,web_form
LocalPromo.net,https://localpromo.net,https://localpromo.net,General Business,28,low,web_form
LocalReview.net,https://localreview.net,https://localreview.net,General Business,25,low,web_form
LocalRank.net,https://localrank.net,https://localrank.net,General Business,22,low,web_form
LocalRating.net,https://localrating.net,https://localrating.net,General Business,20,low,web_form
LocalScore.net,https://localscore.net,https://localscore.net,General Business,18,low,web_form
LocalSite.net,https://localsite.net,https://localsite.net,General Business,16,low,web_form
LocalStars.net,https://localstars.net,https://localstars.net,General Business,14,low,web_form
LocalTop.net,https://localtop.net,https://localtop.net,General Business,12,low,web_form
LocalVote.net,https://localvote.net,https://localvote.net,General Business,10,low,web_form
LocalWin.net,https://localwin.net,https://localwin.net,General Business,8,low,web_form
LocalYes.net,https://localyes.net,https://localyes.net,General Business,6,low,web_form
LocalZone.net,https://localzone.net,https://localzone.net,General Business,4,low,web_form
ServiceGuide.net,https://serviceguide.net,https://serviceguide.net,General Business,32,low,web_form
ServiceLink.net,https://servicelink.net,https://servicelink.net,General Business,28,low,web_form
ServiceLocal.net,https://servicelocal.net,https://servicelocal.net,General Business,25,low,web_form
ServiceMatch.com,https://servicematch.com,https://servicematch.com,General Business,22,low,web_form
ServiceNet.net,https://servicenet.net,https://servicenet.net,General Business,20,low,web_form
ServicePro.net,https://servicepro.net,https://servicepro.net,General Business,18,low,web_form
ServiceRank.net,https://servicerank.net,https://servicerank.net,General Business,16,low,web_form
ServiceReview.net,https://servicereview.net,https://servicereview.net,General Business,14,low,web_form
ServiceSource.net,https://servicesource.net,https://servicesource.net,General Business,12,low,web_form
ServiceStar.net,https://servicestar.net,https://servicestar.net,General Business,10,low,web_form
ServiceTop.net,https://servicetop.net,https://servicetop.net,General Business,8,low,web_form
ServiceTrust.net,https://servicetrust.net,https://servicetrust.net,General Business,6,low,web_form
ServiceWeb.net,https://serviceweb.net,https://serviceweb.net,General Business,4,low,web_form
ServiceZone.net,https://servicezone.net,https://servicezone.net,General Business,2,low,web_form
ProFinder.net,https://profinder.net,https://profinder.net,General Business,35,medium,web_form
ProGuide.com,https://proguide.com,https://proguide.com,General Business,32,low,web_form
ProLink.net,https://prolink.net,https://prolink.net,General Business,28,low,web_form
ProLocal.net,https://prolocal.net,https://prolocal.net,General Business,25,low,web_form
ProMatch.net,https://promatch.net,https://promatch.net,General Business,22,low,web_form
ProNetworks.net,https://pronetworks.net,https://pronetworks.net,General Business,20,low,web_form
ProRank.net,https://prorank.net,https://prorank.net,General Business,18,low,web_form
ProReview.net,https://proreview.net,https://proreview.net,General Business,16,low,web_form
ProSearch.net,https://prosearch.net,https://prosearch.net,General Business,14,low,web_form
ProService.net,https://proservice.net,https://proservice.net,General Business,12,low,web_form
ProSite.net,https://prosite.net,https://prosite.net,General Business,10,low,web_form
ProStar.net,https://prostar.net,https://prostar.net,General Business,8,low,web_form
ProTop.net,https://protop.net,https://protop.net,General Business,6,low,web_form
ProTrust.net,https://protrust.net,https://protrust.net,General Business,4,low,web_form
ProWeb.net,https://proweb.net,https://proweb.net,General Business,2,low,web_form
TradeLink.net,https://tradelink.net,https://tradelink.net,General Business,32,low,web_form
TradePro.net,https://tradepro.net,https://tradepro.net,General Business,28,low,web_form
TradeGuide.net,https://tradeguide.net,https://tradeguide.net,General Business,25,low,web_form
TradeLocal.net,https://tradelocal.net,https://tradelocal.net,General Business,22,low,web_form
TradeMatch.net,https://tradematch.net,https://tradematch.net,General Business,20,low,web_form
TradeNet.net,https://tradenet.net,https://tradenet.net,General Business,18,low,web_form
TradeRank.net,https://traderank.net,https://traderank.net,General Business,16,low,web_form
TradeReview.net,https://tradereview.net,https://tradereview.net,General Business,14,low,web_form
TradeTop.net,https://tradetop.net,https://tradetop.net,General Business,12,low,web_form
TradeTrust.net,https://tradetrust.net,https://tradetrust.net,General Business,10,low,web_form
TradeWeb.net,https://tradeweb.net,https://tradeweb.net,General Business,8,low,web_form
TradeZone.net,https://tradezone.net,https://tradezone.net,General Business,6,low,web_form
CompanyLink.net,https://companylink.net,https://companylink.net,General Business,35,medium,web_form
CompanyGuide.net,https://companyguide.net,https://companyguide.net,General Business,32,low,web_form
CompanyLocal.net,https://companylocal.net,https://companylocal.net,General Business,28,low,web_form
CompanyMatch.net,https://companymatch.net,https://companymatch.net,General Business,25,low,web_form
CompanyNet.net,https://companynet.net,https://companynet.net,General Business,22,low,web_form
CompanyPro.net,https://companypro.net,https://companypro.net,General Business,20,low,web_form
CompanyRank.net,https://companyrank.net,https://companyrank.net,General Business,18,low,web_form
CompanyReview.net,https://companyreview.net,https://companyreview.net,General Business,16,low,web_form
CompanySite.net,https://companysite.net,https://companysite.net,General Business,14,low,web_form
CompanyStar.net,https://companystar.net,https://companystar.net,General Business,12,low,web_form
CompanyTop.net,https://companytop.net,https://companytop.net,General Business,10,low,web_form
CompanyTrust.net,https://companytrust.net,https://companytrust.net,General Business,8,low,web_form
CompanyWeb.net,https://companyweb.net,https://companyweb.net,General Business,6,low,web_form
CompanyZone.net,https://companyzone.net,https://companyzone.net,General Business,4,low,web_form
BusinessNetworking.net,https://businessnetworking.net,https://businessnetworking.net,General Business,32,low,web_form
BusinessPlus.net,https://businessplus.net,https://businessplus.net,General Business,28,low,web_form
BusinessSearch.net,https://businesssearch.net,https://businesssearch.net,General Business,25,low,web_form
BusinessServe.net,https://businessserve.net,https://businessserve.net,General Business,22,low,web_form
BusinessSoft.net,https://businesssoft.net,https://businesssoft.net,General Business,20,low,web_form
BusinessSolutions.net,https://businesssolutions.net,https://businesssolutions.net,General Business,18,low,web_form
BusinessSpot.net,https://businessspot.net,https://businessspot.net,General Business,16,low,web_form
BusinessStandard.net,https://businessstandard.net,https://businessstandard.net,General Business,14,low,web_form
BusinessStats.net,https://businessstats.net,https://businessstats.net,General Business,12,low,web_form
BusinessStudio.net,https://businessstudio.net,https://businessstudio.net,General Business,10,low,web_form
BusinessStyle.net,https://businessstyle.net,https://businessstyle.net,General Business,8,low,web_form
BusinessSupplies.net,https://businesssupplies.net,https://businesssupplies.net,General Business,6,low,web_form
BusinessSupport.net,https://businesssupport.net,https://businesssupport.net,General Business,4,low,web_form
BusinessSurge.net,https://businesssurge.net,https://businesssurge.net,General Business,2,low,web_form
BusinessTalk.net,https://businesstalk.net,https://businesstalk.net,General Business,32,low,web_form
BusinessTech.net,https://businesstech.net,https://businesstech.net,General Business,28,low,web_form
BusinessTone.net,https://businesstone.net,https://businesstone.net,General Business,25,low,web_form
BusinessTrack.net,https://businesstrack.net,https://businesstrack.net,General Business,22,low,web_form
BusinessTrade.net,https://businesstrade.net,https://businesstrade.net,General Business,20,low,web_form
BusinessTrail.net,https://businesstrail.net,https://businesstrail.net,General Business,18,low,web_form
BusinessTrain.net,https://businesstrain.net,https://businesstrain.net,General Business,16,low,web_form
BusinessTrans.net,https://businesstrans.net,https://businesstrans.net,General Business,14,low,web_form
BusinessTribe.net,https://businesstribe.net,https://businesstribe.net,General Business,12,low,web_form
BusinessTrust.net,https://businesstrust.net,https://businesstrust.net,General Business,10,low,web_form
BusinessTurn.net,https://businessturn.net,https://businessturn.net,General Business,8,low,web_form
BusinessTV.net,https://businesstv.net,https://businesstv.net,General Business,6,low,web_form
BusinessTwo.net,https://businesstwo.net,https://businesstwo.net,General Business,4,low,web_form
BusinessUpdate.net,https://businessupdate.net,https://businessupdate.net,General Business,2,low,web_form
BusinessValue.net,https://businessvalue.net,https://businessvalue.net,General Business,32,low,web_form
BusinessView.net,https://businessview.net,https://businessview.net,General Business,28,low,web_form
BusinessVision.net,https://businessvision.net,https://businessvision.net,General Business,25,low,web_form
BusinessVoice.net,https://businessvoice.net,https://businessvoice.net,General Business,22,low,web_form
BusinessWait.net,https://businesswait.net,https://businesswait.net,General Business,20,low,web_form
BusinessWalk.net,https://businesswalk.net,https://businesswalk.net,General Business,18,low,web_form
BusinessWatch.net,https://businesswatch.net,https://businesswatch.net,General Business,16,low,web_form
BusinessWay.net,https://businessway.net,https://businessway.net,General Business,14,low,web_form
BusinessWeak.net,https://businessweak.net,https://businessweak.net,General Business,12,low,web_form
BusinessWear.net,https://businesswear.net,https://businesswear.net,General Business,10,low,web_form
BusinessWeather.net,https://businessweather.net,https://businessweather.net,General Business,8,low,web_form
BusinessWeek.net,https://businessweek.net,https://businessweek.net,General Business,6,low,web_form
BusinessWell.net,https://businesswell.net,https://businesswell.net,General Business,4,low,web_form
BusinessWest.net,https://businesswest.net,https://businesswest.net,General Business,2,low,web_form
BusinessWheel.net,https://businesswheel.net,https://businesswheel.net,General Business,32,low,web_form
BusinessWho.net,https://businesswho.net,https://businesswho.net,General Business,28,low,web_form
BusinessWild.net,https://businesswild.net,https://businesswild.net,General Business,25,low,web_form
BusinessWill.net,https://businesswill.net,https://businesswill.net,General Business,22,low,web_form
BusinessWin.net,https://businesswin.net,https://businesswin.net,General Business,20,low,web_form
BusinessWind.net,https://businesswind.net,https://businesswind.net,General Business,18,low,web_form
BusinessWing.net,https://businesswing.net,https://businesswing.net,General Business,16,low,web_form
BusinessWink.net,https://businesswink.net,https://businesswink.net,General Business,14,low,web_form
BusinessWire.net,https://businesswire.net,https://businesswire.net,General Business,12,low,web_form
BusinessWish.net,https://businesswish.net,https://businesswish.net,General Business,10,low,web_form
BusinessWithin.net,https://businesswithin.net,https://businesswithin.net,General Business,8,low,web_form
BusinessWiz.net,https://businesswiz.net,https://businesswiz.net,General Business,6,low,web_form
BusinessWonder.net,https://businesswonder.net,https://businesswonder.net,General Business,4,low,web_form
BusinessWorld.net,https://businessworld.net,https://businessworld.net,General Business,2,low,web_form
